index,value,time_ns,operations
1288,74530,700,42
1289,83877,800,44
1290,31270,800,48
1291,9670,700,46
1292,27312,600,44
1293,95146,700,49
1294,18221,700,48
1295,16985,700,44
1296,76600,600,48
1297,99287,700,44
1298,1488,900,53
1299,58072,900,49
1300,23974,700,38
1301,75403,600,44
1302,98114,700,48
1303,14010,600,42
1304,95857,600,48
1305,32140,600,42
1306,48274,600,42
1307,94122,700,42
1308,6092,700,50
1309,1833,500,46
1310,44657,700,45
1311,75648,700,42
1312,23669,600,42
1313,38185,700,46
1314,66994,600,46
1315,9210,800,52
1316,16747,800,48
1317,5010,800,46
1318,50410,700,38
1319,16124,900,48
1320,11581,800,46
1321,16567,700,42
1322,55767,800,42
1323,28033,800,49
1324,53118,800,48
1325,53791,900,45
1326,63389,900,46
1327,85628,1000,49
1328,92436,700,42
1329,11694,800,46
1330,12363,800,46
1331,65008,800,42
1332,66959,900,52
1333,90674,700,38
1334,20733,1000,49
1335,13960,500,42
1336,99063,900,45
1337,46380,700,38
1338,72314,800,49
1339,53875,700,42
1340,19070,700,42
1341,71865,800,42
1342,7997,800,46
1343,13344,700,48
1344,85396,700,42
1345,98013,800,42
1346,82609,600,38
1347,10899,600,42
1348,18554,700,48
1349,75,800,52
1350,74165,700,46
1351,66145,700,42
1352,88494,600,38
1353,68818,700,48
1354,73215,600,45
1355,50125,500,38
1356,84997,1200,49
1357,49031,700,45
1358,15453,600,38
1359,19679,2200,46
1360,29366,800,48
1361,62923,800,53
1362,63990,700,42
1363,36030,700,38
1364,22739,800,48
1365,18362,700,46
1366,30511,700,42
1367,57450,800,46
1368,49043,600,42
1369,82288,700,42
1370,12234,800,46
1371,75960,700,42
1372,83083,700,42
1373,91991,700,42
1374,26121,800,45
1375,10027,800,46
1376,24539,700,48
1377,61361,700,38
1378,6416,900,53
1379,63147,900,52
1380,32036,800,48
1381,70398,700,42
1382,67592,800,46
1383,93861,700,49
1384,94807,700,49
1385,46795,700,48
1386,6144,700,50
1387,8799,600,42
1388,39913,700,42
1389,12023,800,53
1390,76462,800,46
1391,65238,600,48
1392,30467,700,42
1393,35939,800,49
1394,31668,700,44
1395,11350,700,46
1396,68597,600,46
1397,50550,700,44
1398,38269,800,46
1399,86485,700,45
1400,15690,700,49
1401,84682,600,38
